scenario_id,behavior_mode,inflow_30d,outflow_30d,net_outflow_30d,LCR_proxy
scn_ir_vup_eq_deep,static,0.0,149906544.87,149906544.87,0.0
scn_ir_vup_eq_deep,rational,0.0,149906544.87,149906544.87,0.0
scn_ir_vdown_eq_down,static,0.0,149906544.87,149906544.87,0.0
scn_ir_vdown_eq_down,rational,0.0,149906544.87,149906544.87,0.0
scn_ir_down_eq_base,static,0.0,149906544.87,149906544.87,0.0
scn_ir_down_eq_base,rational,0.0,149906544.87,149906544.87,0.0
scn_ir_up_eq_down,static,0.0,149906544.87,149906544.87,0.0
scn_ir_up_eq_down,rational,0.0,149906544.87,149906544.87,0.0
scn_ir_vdown_eq_base,static,0.0,149906544.87,149906544.87,0.0
scn_ir_vdown_eq_base,rational,0.0,149906544.87,149906544.87,0.0
scn_ir_up_eq_base,static,0.0,149906544.87,149906544.87,0.0
scn_ir_up_eq_base,rational,0.0,149906544.87,149906544.87,0.0
scn_ir_down_eq_down,static,0.0,149906544.87,149906544.87,0.0
scn_ir_down_eq_down,rational,0.0,149906544.87,149906544.87,0.0
scn_ir_vup_eq_down,static,0.0,149906544.87,149906544.87,0.0
scn_ir_vup_eq_down,rational,0.0,149906544.87,149906544.87,0.0
scn_ir_vup_eq_base,static,0.0,149906544.87,149906544.87,0.0
scn_ir_vup_eq_base,rational,0.0,149906544.87,149906544.87,0.0
scn_ir_down_eq_deep,static,0.0,149906544.87,149906544.87,0.0
scn_ir_down_eq_deep,rational,0.0,149906544.87,149906544.87,0.0
scn_ir_up_eq_deep,static,0.0,149906544.87,149906544.87,0.0
scn_ir_up_eq_deep,rational,0.0,149906544.87,149906544.87,0.0
scn_ir_vdown_eq_deep,static,0.0,149906544.87,149906544.87,0.0
scn_ir_vdown_eq_deep,rational,0.0,149906544.87,149906544.87,0.0
