scenario_id,behavior_mode,total_inflow,total_outflow
scn_ir_vup_eq_deep,static,173219757.382903,149906544.87
scn_ir_vup_eq_deep,rational,173058800.293835,149906544.87
scn_ir_vdown_eq_down,static,163959054.954234,149906544.87
scn_ir_vdown_eq_down,rational,163880723.327512,149906544.87
scn_ir_down_eq_base,static,166692821.449455,149906544.87
scn_ir_down_eq_base,rational,166611935.921727,149906544.87
scn_ir_up_eq_down,static,170397101.979243,149906544.87
scn_ir_up_eq_down,rational,170261381.798347,149906544.87
scn_ir_vdown_eq_base,static,163959054.954234,149906544.87
scn_ir_vdown_eq_base,rational,163880723.327512,149906544.87
scn_ir_up_eq_base,static,170397101.979243,149906544.87
scn_ir_up_eq_base,rational,170261381.798347,149906544.87
scn_ir_down_eq_down,static,166692821.449455,149906544.87
scn_ir_down_eq_down,rational,166611935.921727,149906544.87
scn_ir_vup_eq_down,static,173219757.382903,149906544.87
scn_ir_vup_eq_down,rational,173058800.293835,149906544.87
scn_ir_vup_eq_base,static,173219757.382903,149906544.87
scn_ir_vup_eq_base,rational,173058800.293835,149906544.87
scn_ir_down_eq_deep,static,166692821.449455,149906544.87
scn_ir_down_eq_deep,rational,166611935.921727,149906544.87
scn_ir_up_eq_deep,static,170397101.979243,149906544.87
scn_ir_up_eq_deep,rational,170261381.798347,149906544.87
scn_ir_vdown_eq_deep,static,163959054.954234,149906544.87
scn_ir_vdown_eq_deep,rational,163880723.327512,149906544.87
